,title,runtime,stars,directors,filming_location,aka,oscars_won,genres,budget,domestic_gross,worldwide_gross,mpaa_rating,release
0,West Side Story,153,"['Natalie Wood', 'George Chakiris', 'Richard Beymer']","['Jerome Robbins', 'Robert Wise']","Church of Saint Paul the Apostle, Columbus Avenue &amp; West 60th Street, New York City, New York, USA",West Side Story,0,"['Crime', 'Drama', 'Musical', 'Romance']","$6,000,000
            ","$44,055,492","$44,061,777",Not Rated,18 October 1961 (USA)
1,West Side Story,Not found,"['Ansel Elgort', 'Rachel Zegler', 'Ariana DeBose']",['Steven Spielberg'],"New York, USA",West Side Story,0,"['Crime', 'Drama', 'Musical', 'Romance']","$100,000,000
            ",Not found,Not found,,10 December 2021 (USA)
2,Aladdin,90,"['Scott Weinger', 'Robin Williams', 'Linda Larkin']","['Ron Clements', 'John Musker']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Aladdin,0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']","$28,000,000
            ","$217,350,219","$504,050,219",G,25 November 1992 (USA)
3,Aladdin,70,"['Barry Bostwick', 'I.M. Hobson', 'Jane A. Johnston']",['Micky Dolenz'],Not found,Not found,0,"['Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",Not found,Not found,Not found,TV-G,Not found
4,Aladdin,Not found,"['Ed Byrne', 'Julian Clary', 'Martin Clunes']",['Geoff Posner'],Not found,Aladdin,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0126170/', 'name: Ed Byrne', '}', '{', '@type: Person', 'url: /name/nm0165138/', 'name: Julian Clary', '}', '{', '@type: Person', 'url: /name/nm0167340/', 'name: Martin Clunes', '}', '{', '@type: Person', 'url: /name/nm0000475/', 'name: Patsy Kensit', '}']",Not found,Not found,Not found,,25 December 2000 (UK)
5,Aladdin,67,"['Henning Moritzen', 'Elith Pio', 'Helle Virkner']",['Finn Methling'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0605786/', 'name: Henning Moritzen', '}', '{', '@type: Person', 'url: /name/nm0684773/', 'name: Elith Pio', '}', '{', '@type: Person', 'url: /name/nm0899401/', 'name: Helle Virkner', '}', '{', '@type: Person', 'url: /name/nm1044811/', 'name: Paul Bergsøe', '}']",Not found,Not found,Not found,,25 December 1952 (Denmark)
6,Aladdin,50,"['Graziella Able', 'Will B. Able', 'Darrell J. Askey']",['Nick Havinga'],"Ed Sullivan Studio, New York City, New York, USA",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm1766268/', 'name: Graziella Able', '}', '{', '@type: Person', 'url: /name/nm0008810/', 'name: Will B. Able', '}', '{', '@type: Person', 'url: /name/nm1766858/', 'name: Darrell J. Askey', '}', '{', '@type: Person', 'url: /name/nm1765996/', 'name: David Christopher', '}']",Not found,Not found,Not found,,1967 (USA)
7,Aladdin,60,"['Michael Aspel', 'Jacqueline Clarke', 'Dana']",Not found,Not found,Not found,0,"['Comedy', 'Family', 'Musical']",Not found,Not found,Not found,,24 December 1974 (UK)
8,Aladdin,Not found,"['Ahmed Ezz', 'Tara Emad', 'Mohammed Tharwat']",['Magdi El-Hawari'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm1432852/', 'name: Ahmed Ezz', '}', '{', '@type: Person', 'url: /name/nm7199001/', 'name: Tara Emad', '}', '{', '@type: Person', 'url: /name/nm8329218/', 'name: Mohammed Tharwat', '}', '{', '@type: Person', 'url: /name/nm4941985/', 'name: Karim Afifi', '}']",Not found,Not found,Not found,,6 February 2020 (Egypt)
9,Aladdin,Not found,['Hal Turner'],Not found,"NWS 9, Tynte Street, North Adelaide, Adelaide, South Australia, Australia",Not found,0,"['Family', 'Fantasy']",Not found,Not found,Not found,,1963 (Australia)
10,Aladdin,90,"['Peter Butterworth', 'Pamela Galloway', 'Peter Glover']",Not found,Not found,Not found,0,"['Drama', 'Musical']",Not found,Not found,Not found,,26 December 1951 (UK)
11,Aladdin,59,"['Owen Money', 'Ieuan Rhys', 'Phylip Harries']",['Clive Harpwood'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm2183159/', 'name: Owen Money', '}', '{', '@type: Person', 'url: /name/nm0722625/', 'name: Ieuan Rhys', '}', '{', '@type: Person', 'url: /name/nm2425953/', 'name: Phylip Harries', '}', '{', '@type: Person', 'url: /name/nm1005793/', 'name: Maureen Rees', '}']",Not found,Not found,Not found,,26 December 2001 (UK)
12,Aladdin,70,"['David Cole', 'Hugh David', 'Douglas Wilmer']",Not found,Not found,Not found,0,"['Drama', 'Family']",Not found,Not found,Not found,,26 December 1957 (UK)
