,title,total_weekly_gross,total_potential_gross,total_performances,total_previews,last_performance,avg_ticket_price,avg_capacity,avg_top_ticket_price,avg_seats_in_theatre
0,The Lion King,1677801504.5,1732523227.0,9284,33,1997-10-19,107.17120926243575,0.9768338765008553,184.3736051502146,1716.0540308747857
1,Wicked,1364248846.0,1324600201.5,6817,25,2003-10-12,111.46691228070166,0.9715726315789482,270.24590163934425,1821.701754385965
2,The Phantom of the Opera,1251492673.92,1326206455.0,13350,16,1988-01-10,65.38144901610016,0.8971247465712592,158.3267441860465,1605.7978533094813
3,Chicago,679882488.8499993,1011836202.5,9674,25,1996-10-27,72.58772577996714,0.8270306239737271,176.23972884141332,1178.9466338259442
4,The Book of Mormon,656783848.4399999,606418886.0,3730,28,2011-02-27,160.3692978723404,1.0231825531914889,469.2857142857143,1061.872340425532
5,Hamilton,645335116.75,586004990.0,1900,26,2015-07-19,249.31659751037333,1.0165751037344393,728.9958506224067,1321.311203319502
6,Mamma Mia!,624391693.0,845732122.0,5758,14,2001-10-07,82.233218707015,0.8972738651994496,189.85020661157026,1448.949105914718
7,Jersey Boys,557512546.5900002,631680198.0,4633,38,2005-10-09,106.86471088435378,0.8952028911564625,271.0532367972743,1221.578231292517
8,Les Miserables,548795211.19,404949668.0,8135,50,1987-03-01,53.00858653846154,0.8848782692307684,132.98973727422003,1455.0923076923077
9,Aladdin,458814870.45999986,491574362.0,2487,21,2014-03-02,107.8894568690096,0.9791182108626205,228.31089743589743,1726.031948881789
10,Beauty and the Beast,429158458.0,425324962.0,5461,46,1994-03-13,56.526376811594254,0.860458985507247,94.94009584664536,1603.8144927536232
11,Cats,407831912.99999994,231695656.0,6969,16,1985-06-09,47.339359267734515,0.8475453089244848,97.70254957507082,1472.5331807780321
12,Miss Saigon,322103950.46999997,185520675.0,4432,43,1991-03-24,49.371657754010734,0.8454713012477706,98.02046783625731,1737.9411764705883
13,Kinky Boots,317914074.40999997,429939719.0,2497,34,2013-03-03,104.66738993710683,0.8245499999999997,299.5173501577287,1424.0
14,Mary Poppins,294558648.0,431551587.0,2619,30,2006-10-15,75.26284431137726,0.8156053892215572,203.17065868263472,1795.814371257485
15,The Producers,288361724.0,329102358.0,2502,33,2001-03-25,77.60301886792452,0.8492138364779876,325.6477987421384,1705.2201257861636
16,Rent,274248128.0,329200908.0,5123,16,1996-04-21,53.94166924265849,0.8254459041731069,113.83693972179289,1176.4219474497681
17,Beautiful: The Carole King Musical,269648283.8199998,355017322.0,2408,60,2013-11-24,117.0412621359224,0.9012381877022646,268.72727272727275,1026.0
18,Hairspray,252181270.0,331336259.0,2642,31,2002-07-21,72.54292899408284,0.8907183431952668,257.0414201183432,1419.0650887573966
