,title,FILM_runtime,FILM_stars,FILM_directors,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,BWAY_average_weekly_gross,FILM_CPI,BWAY_CPI,FILM_budget_adj,FILM_domestic_gross_adj,FILM_worldwide_gross_adj,BWAY_total_weekly_gross_adj,BWAY_average_weekly_gross_adj,GENRE_!,GENRE_2,GENRE_3,GENRE_4,GENRE_5,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western
,42nd Street,99,,,,2,,439000,1438000,1438000,1,11 Mar 33,tt0024034,,99,,178252977,204319435,3028,31,1985-06-09,45.022109,0.703124,99.016582,1720.96875,1933,1,,13.2,3.15,33257.5757575758,108939.393939394,108939.393939394,,,Comedy,Musical,Romance,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
,Amelie,122,,,,0,,10000000,33225499,173924742,4,8 Feb 02,tt0211915,,122,,5307175.4,10284887,56,27,2017-03-12,82.47,0.847664,263.454545,929.545455,2002,4,,181,,55248.6187845304,183566.29281768,960910.17679558,,,Comedy ,Romance,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,Beetlejuice,92,,,,1,,15000000,74220408,74270074,2,30 Mar 88,tt0094721,,92,,50765871.95,,356,27,2019-03-31,,,,,1988,2,,116.5,,128755.364806867,637085.0472103,637511.364806867,,,Comedy,Fantasy,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Billy Elliot,110,,,,0,,5000000,21995263,109283018,4,10 Nov 00,tt0249462,,110,,183514378,218727543,1312,40,2008-10-05,,,,,2000,4,,174.1,,28719.1269385411,126336.950028719,627702.573233774,,,Drama,Music,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,Bridges of Madison County,135,,,,0,,24000000,71516617,182016617,3,2 Jun 95,tt0112579,,135,,6729931,17361030,100,37,2014-01-19,,,,,1995,3,,152.5,,157377.049180328,468961.42295082,1193551.58688525,,,Drama,Romance,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
,Holiday Inn,100,,,,1,,2300000,3000000,3000000,1,4 Sep 42,tt0034862,,100,,10143047.35,18919390,117,38,2016-09-04,,,,,1942,1,,16.5,1.29,139393.939393939,181818.181818182,181818.181818182,,,Comedy,Drama,Music,,,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,Kinky Boots,107,,,,0,,4000000,1822428,9950133,3,26 May 06,tt0434124,,107,,317914100,429939719,2497,34,2013-03-03,,,,,2005,3,,194.4,,20576.1316872428,9374.62962962963,51183.8117283951,,,Comedy,Drama,Music,,,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,Rocky Horror Picture Show,100,,,,0,,1200000,112892319,113140497,4,31 Aug 75,tt0073629,,100,,13431400,24870265,437,30,2000-10-22,,,,,1975,4,,54.3,,22099.4475138122,2079048.2320442,2083618.72928177,,,Comedy,Musical,,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,Bye Bye Birdie,112,,,,0,,6000000,13129412,13129412,1,27 May 63,tt0056891,,112,,11485459,19452830,117,40,2009-09-13,,,,,1963,1,,30.5,,196721.31147541,430472.524590164,430472.524590164,,,Comedy,Musical,,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,Sunset Boulevard,110,,,,3,,1752000,5000000,5000000,1,29 Sep 50,tt0043014,,110,,107159658.1,34904539,1115,24,1994-11-06,,,,,1950,1,,24.4,25,71803.2786885246,204918.032786885,204918.032786885,,,Drama,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
