,index,title,FILM_runtime,FILM_stars,FILM_directors,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_mpaa_rating_number,FILM_release_year
0,0,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0055781,Beauty and the Beast,77,"Family,Fantasy,Horror",429158458.0,425324962.0,5461,46,1994-03-13,56.526376811594254,0.860458985507247,94.94009584664536,1603.8144927536232,2,2017-01-01
1,68,Hamilton,160.0,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.']",['Thomas Kail'],Hamilton,0.0,"['Biography', 'Drama', 'History', 'Musical']",18702908.00559317,66692670.50105042,117460103.96547368,3,3 July 2020,tt0119249,Commander Hamilton,127,"Action,Adventure,Crime",645335116.75,586004990.0,1900,26,2015-07-19,249.31659751037333,1.0165751037344393,728.9958506224067,1321.311203319502,3,2020-01-01
2,71,Grease,110.0,"['John Travolta', 'Olivia Newton-John', 'Stockard Channing']",['Randal Kleiser'],Grease,1.0,"['Musical', 'Romance']",6000000.0,190071103.0,397217505.0,2,16 June 1978,tt0077631,Grease,110,"Musical,Romance",119817954.0,75236934.0,2059,51,1994-04-24,59.15842696629219,0.8633820224719105,138.58612440191388,1082.4044943820224,2,1978-01-01
3,73,The Lion King,118.0,"['Donald Glover', 'Beyoncé', 'Seth Rogen']",['Jon Favreau'],The Lion King,1.0,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",260000000.0,543638043.0,1656963790.0,2,19 July 2019,tt0110357,The Lion King,88,"Adventure,Animation,Drama",1677801504.5,1732523227.0,9284,33,1997-10-19,107.17120926243575,0.9768338765008553,184.3736051502146,1716.0540308747857,2,2019-01-01
4,77,West Side Story,103.70863291758376,"['Ansel Elgort', 'Rachel Zegler', 'Ariana DeBose']",['Steven Spielberg'],West Side Story,0.0,"['Crime', 'Drama', 'Musical', 'Romance']",100000000.0,66692670.50105042,117460103.96547368,0,10 December 2021,tt0055614,West Side Story,153,"Crime,Drama,Musical",111313468.14,151952013.0,761,104,2009-03-01,88.90449541284404,0.8376807339449541,310.10091743119267,1701.0,0,2021-01-01
5,85,Charlie and the Chocolate Factory,115.0,"['Johnny Depp', 'Freddie Highmore', 'David Kelly']",['Tim Burton'],Charlie and the Chocolate Factory: The IMAX Experience,1.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",150000000.0,206459076.0,474968763.0,2,15 July 2005,tt0367594,Charlie and the Chocolate Factory,115,"Adventure,Comedy,Family",43679420.00000001,57710896.0,305,27,2017-04-02,99.0957142857143,0.8792142857142858,233.0,1496.0,2,2005-01-01
6,86,Aladdin,128.0,"['Will Smith', 'Mena Massoud', 'Naomi Scott']",['Guy Ritchie'],Aladdin,0.0,"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",183000000.0,355559216.0,1050693953.0,2,24 May 2019,tt0103639,Aladdin,90,"Adventure,Animation,Comedy",458814870.45999986,491574362.0,2487,21,2014-03-02,107.8894568690096,0.9791182108626205,228.31089743589743,1726.031948881789,2,2019-01-01
7,390,Frozen,102.0,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff']","['Chris Buck', 'Jennifer Lee']",The Snow Queen,0.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",150000000.0,400738009.0,1280803377.0,2,27 November 2013,tt0376606,Frozen,90,Thriller,156646993.79999998,175444963.70000002,942,32,2004-05-02,103.86260162601624,0.9088284552845529,250.4227642276423,1540.60162601626,2,2013-01-01
8,395,Guys and Dolls,150.0,"['Marlon Brando', 'Jean Simmons', 'Frank Sinatra']",['Joseph L. Mankiewicz'],Guys and Dolls,4.0,"['Comedy', 'Crime', 'Musical', 'Romance']",5500000.0,66692670.50105042,117460103.96547368,0,23 December 1955,tt0048140,Guys and Dolls,150,"Comedy,Crime,Musical",75609105.0,18653313.0,1264,61,1992-03-22,52.34379518072288,0.8499789156626502,275.0,1273.8614457831325,0,1955-01-01
9,398,Cats,110.0,"['James Corden', 'Judi Dench', 'Jason Derulo']",['Tom Hooper'],Cats,1.0,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",95000000.0,27166770.0,73834284.0,2,20 December 2019,tt0173714,Cats,120,Musical,407831912.99999994,231695656.0,6969,16,1985-06-09,47.339359267734515,0.8475453089244848,97.70254957507082,1472.5331807780321,2,2019-01-01
