,Unnamed: 0,Unnamed: 0.1,title,FILM_runtime,FILM_stars,FILM_directors,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,GENRE_1,GENRE_2,GENRE_3,GENRE_4,GENRE_5,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western,FILM_CPI,BWAY_CPI,FILM_budget_adj,FILM_domestic_gross_adj,FILM_worldwide_gross_adj,BWAY_total_weekly_gross_adj,BWAY_average_weekly_gross_adj
0,0,24792,"'night, Mother",96.0,"['Sissy Spacek', 'Anne Bancroft', 'Ed Berke']",['Tom Moore'],"'night, Mother",1.0,"['contentRating: PG-13', 'actor:', '{', '@type: Person', 'url: /name/nm0000651/', 'name: Sissy Spacek', '}', '{', '@type: Person', 'url: /name/nm0000843/', 'name: Anne Bancroft', '}', '{', '@type: Person', 'url: /name/nm0075303/', 'name: Ed Berke', '}', '{', '@type: Person', 'url: /name/nm0730306/', 'name: Carol Robbins', '}']",5237456.983273721,441863.0,441863.0,3,1987-01-29,tt0090556,"'night, Mother",96,Drama,2011480.0,7329105.0,65,26,2004-10-24,167623.33333333337,52.46999999999999,0.3994666666666665,86.25,1078.0,1987-01-01,3.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.6,191.0,46930.61812969285,3959.345878136201,3959.345878136201,10531.30890052356,877.6090750436302
1,1,26229,13,104.0391135558465,"['Ismo Kallio', 'Seija Lampila', 'Lasse Liemola']",['Aarre Elo'],Not found,0.0,"['contentRating: PG-13', 'actor:', '{', '@type: Person', 'url: /name/nm0000651/', 'name: Sissy Spacek', '}', '{', '@type: Person', 'url: /name/nm0000843/', 'name: Anne Bancroft', '}', '{', '@type: Person', 'url: /name/nm0075303/', 'name: Ed Berke', '}', '{', '@type: Person', 'url: /name/nm0730306/', 'name: Carol Robbins', '}']",15115293.248604827,33744643.47210504,59254017.99328434,0,1966-01-18,tt0798817,13,91,"Crime,Drama,Thriller",4436369.0,12660172.0,105,22,2008-09-21,277273.0625,58.883125,0.5487625,198.5,1042.0,1966-01-01,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,216.57299999999998,472352.91401890083,1054520.1085032825,1851688.0622901355,20484.40479653512,1280.275299783445
2,2,5237,1776,141.0,"['William Daniels', 'Howard Da Silva', 'Ken Howard']",['Peter H. Hunt'],1776,1.0,['Not found'],4000000.0,26285523.615504123,31111346.3397974,1,1972-11-17,tt0068156,1776,141,"Drama,Family,History",13667789.0,29237441.0,333,34,1997-07-20,297125.847826087,40.464565217391296,0.7918021739130439,72.06521739130434,1351.1739130434785,1972-01-01,1.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,160.8,94117.64705882352,618482.908600097,732031.6785834682,84998.68781094527,1847.797561107506
3,3,21055,1984,90.0,"[""Edmond O'Brien"", 'Michael Redgrave', 'Jan Sterling']",['Michael Anderson'],1984,0.0,"['Drama', 'Family', 'History', 'Musical']",15139210.376180647,34352068.8822771,60397011.747501,0,1956-09-01,tt0048918,1984,90,"Drama,Sci-Fi",6859820.120000001,15831077.0,125,38,2017-05-21,326658.10095238104,61.16190476190476,0.7138857142857142,249.0,970.0,1956-01-01,0.0,Drama,Family,History,Musical,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,27.4,251.71400000000003,552525.9261379798,1253725.1416889455,2204270.501733613,27252.4377666717,1297.7351317462715
4,6,25469,A Bronx Tale,121.0,"['Robert De Niro', 'Chazz Palminteri', 'Lillo Brancato']",['Robert De Niro'],A Bronx Tale,0.0,['nan'],22000000.0,17287898.0,17287898.0,4,1993-10-01,tt0106489,A Bronx Tale,121,"Crime,Drama,Romance",68722968.43999995,84757024.0,700,28,2016-11-06,746988.7873913038,100.18391304347828,0.8986597826086953,246.2391304347826,1044.0,1993-01-01,4.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.7,249.959,150995.1956074125,118654.07000686343,118654.07000686343,274936.963422001,2988.4452545869676
5,7,5163,A Chorus Line,120.0,"['Christine Achico', 'Sheldon Chaney', 'Mariano Foulquie']","['Rennie Cowan', 'Chance Taylor']",Not found,0.0,"['Crime', 'Drama', 'Romance']",25000.0,21958315.975511275,41898318.39590371,0,2015-05-15,tt0088915,A Chorus Line,113,"Drama,Music,Musical",106462964.0,78772513.0,2799,18,1985-06-09,299895.67323943664,42.893915492957724,0.6450270422535216,280.6375,1352.456338028169,2015-01-01,0.0,Crime,Drama,Romance,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,242.06400000000002,107.8,103.27847180910832,90712.85269809337,173087.77181201542,987597.06864564,2781.9635736496907
6,8,6804,A Christmas Carol,96.0,"['Jim Carrey', 'Gary Oldman', 'Colin Firth']",['Robert Zemeckis'],A Christmas Carol: An IMAX 3D Experience,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm9869979/', 'name: Christine Achico', '}', '{', '@type: Person', 'url: /name/nm8350721/', 'name: Sheldon Chaney', '}', '{', '@type: Person', 'url: /name/nm4685954/', 'name: Mariano Foulquie', '}', '{', '@type: Person', 'url: /name/nm7466499/', 'name: Sarah J. Halstead', '}']",200000000.0,137855863.0,325286646.0,2,2009-11-06,tt0029992,A Christmas Carol,69,"Drama,Family,Fantasy",9227943.83,8228171.0,119,19,1991-12-22,512663.5461111111,73.53444444444446,0.8741722222222221,286.9,1102.111111111111,2009-01-01,2.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.949,138.1,926144.598956235,638372.3147595034,1506312.3515274439,66820.73736422883,3712.2631869016013
7,9,24646,A Christmas Story,104.4024676552432,Not found,Not found,The Night Before Christmas,0.0,"['Animation', 'Drama', 'Family', 'Fantasy']",15386457.521708556,32885946.217731666,59938023.20558176,0,2015-01-02,tt0085334,A Christmas Story,94,"Comedy,Family",8633547.0,11751311.0,51,15,2012-11-11,1079193.375,94.0925,0.8903125,229.25,1509.5,2015-01-01,0.0,Animation,Drama,Family,Fantasy,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,240.172,229.601,64064.32690616956,136926.64514486145,249562.90993780192,37602.39284672105,4700.299105840131
8,10,23689,A Day in the Death of Joe Egg,150.0,"['Eddie Izzard', 'Victoria Hamilton', 'Prunella Scales']",['Robin Lough'],Not found,0.0,['Not found'],15325564.934194647,31476198.881237026,57244694.98217027,0,2002-03-13,tt0068450,A Day in the Death of Joe Egg,106,"Comedy,Drama",2874477.0,4329000.0,69,24,2003-03-16,239539.75,45.175,0.9180166666666668,65.0,740.0,2002-01-01,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.8,183.8,85236.7348954096,175062.2852126642,318379.83861051314,15639.156692056582,1303.2630576713818
9,11,23722,A Delicate Balance,133.0,"['Katharine Hepburn', 'Paul Scofield', 'Lee Remick']",['Tony Richardson'],Balansgång,1.0,"['actor:', '{', '@type: Person', 'url: /name/nm0412850/', 'name: Eddie Izzard', '}', '{', '@type: Person', 'url: /name/nm0358200/', 'name: Victoria Hamilton', '}', '{', '@type: Person', 'url: /name/nm0768795/', 'name: Prunella Scales', '}', '{', '@type: Person', 'url: /name/nm0912353/', 'name: John Warnaby', '}']",15675099.942962127,33741097.38132611,63469900.96304795,2,1976-04-01,tt0069958,A Delicate Balance,133,Drama,18418588.0,19203192.0,293,63,1996-03-31,409301.95555555547,68.69288888888886,0.8409111111111109,160.42222222222222,968.2,1976-01-01,2.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1,156.3,279413.54622035875,601445.586119895,1131370.7836550437,117841.2539987204,2618.694533304897
10,12,17620,A Doll's House,144.0,"['Hattie Morahan', 'Dominic Rowan', 'Steve Toussaint']",['Robert Delamere'],Not found,0.0,"['contentRating: PG', 'actor:', '{', '@type: Person', 'url: /name/nm0000031/', 'name: Katharine Hepburn', '}', '{', '@type: Person', 'url: /name/nm0006890/', 'name: Paul Scofield', '}', '{', '@type: Person', 'url: /name/nm0001665/', 'name: Lee Remick', '}', '{', '@type: Person', 'url: /name/nm0003679/', 'name: Kate Reid', '}']",15533715.095316712,30950029.994863514,57980494.49143584,0,2012-01-01,tt0007867,A Doll's House,50,Drama,6495976.0,4264180.0,150,8,1997-03-30,282433.73913043475,44.68304347826087,0.8914608695652173,60.0,1018.0,2012-01-01,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.665,160.2,68531.59991757313,136545.25398655952,255798.18009589412,40549.163545568044,1763.0071106768712
11,13,25375,A Few Good Men,138.0,"['Tom Cruise', 'Jack Nicholson', 'Demi Moore']",['Rob Reiner'],A Few Good Men,4.0,"['contentRating: Not Rated', 'actor:', '{', '@type: Person', 'url: /name/nm0602455/', 'name: Hattie Morahan', '}', '{', '@type: Person', 'url: /name/nm0746393/', 'name: Dominic Rowan', '}', '{', '@type: Person', 'url: /name/nm0869750/', 'name: Steve Toussaint', '}']",41000000.0,141340178.0,243240178.0,4,1992-12-11,tt0104257,A Few Good Men,138,"Drama,Thriller",7729208.0,0.0,497,15,1989-11-05,118910.89230769232,23.665692307692307,0.6400784615384616,,997.0,1992-01-01,4.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.6,126.1,287517.5315568023,991165.3436185133,1705751.5988779804,61294.27438540841,942.9888366985911
12,14,5234,A Funny Thing Happened on the Way to the Forum,99.0,"['Zero Mostel', 'Phil Silvers', 'Buster Keaton']",['Richard Lester'],A Funny Thing Happened on the Way to the Forum,0.0,"['Drama', 'Thriller']",2000000.0,17171663.909199994,27474258.450071946,0,1966-10-16,tt0060438,A Funny Thing Happened on the Way to the Forum,99,"Comedy,Musical",48856284.0,26816104.0,715,35,1996-03-24,519747.7021276597,51.99308510638297,0.7623734042553194,70.0,1617.0,1966-01-01,0.0,Drama,Thriller,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,32.9,156.3,60790.273556231004,521935.07322796335,835083.8434672324,312580.1919385796,3325.3211908359544
13,15,26257,A Life in the Theatre,104.16726398030228,"['Peter Evans', 'Ellis Rabb']","['Kirk Browning', 'Gerald Gutierrez']",Not found,0.0,"['Comedy', 'Musical']",15113530.954016626,33142889.88904086,58287082.47462918,0,1979-10-03,tt0199716,A Life in the Theatre,\N,"Comedy,Drama",2583745.0,9775872.0,56,24,2010-09-26,258374.5,57.937,0.5342100000000001,250.0,1071.0,1979-01-01,0.0,Comedy,Musical,,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75.9,218.71099999999998,199124.25499363142,436665.2159293921,767945.7506538758,11813.511894692083,1181.3511894692083
14,16,5308,A Little Night Music,124.0,"['Elizabeth Taylor', 'Diana Rigg', 'Len Cariou']",['Harold Prince'],A Little Night Music,0.0,"['Comedy', 'Drama']",15711488.319701133,40155498.15980115,73909709.27696608,2,1980-05-21,tt0076319,A Little Night Music,124,"Comedy,Musical,Romance",38606667.0,50154705.0,425,20,2009-11-29,689404.7678571428,103.69017857142862,0.8901464285714286,325.39285714285717,931.0,1980-01-01,2.0,Comedy,Drama,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82.7,215.949,189981.72091537042,485556.2050761928,893708.6974240155,178776.78062875956,3192.442511227849
15,17,22502,A Man for All Seasons,150.0,"['Charlton Heston', 'Vanessa Redgrave', 'John Gielgud']",['Charlton Heston'],Un hombre de dos reinos,1.0,"['Comedy', 'Musical', 'Romance']",15275822.686646987,32135346.41749684,57914191.39535368,0,1988-12-21,tt0060665,A Man for All Seasons,120,"Biography,Drama,History",3612196.0,6882891.0,73,29,2008-09-14,258014.0,55.90357142857143,0.8537142857142858,111.5,739.2857142857142,1988-01-01,0.0,Comedy,Musical,Romance,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,121.1,216.57299999999998,126142.21871715102,265362.0678571168,478234.4458741014,16678.88425611688,1191.3488754369198
