,year_film,year_ceremony,ceremony,category,name,film,winner
0,1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False
1,1927,1928,1,ACTOR,Emil Jannings,The Last Command,True
2,1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,False
3,1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,True
4,1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,False
11,1927,1928,1,DIRECTING,Lewis Milestone,Two Arabian Knights,True
12,1927,1928,1,DIRECTING,Ted Wilde,Speedy,False
13,1927,1928,1,DIRECTING,Frank Borzage,7th Heaven,True
14,1927,1928,1,DIRECTING,Herbert Brenon,Sorrell and Son,False
15,1927,1928,1,DIRECTING,King Vidor,The Crowd,False
19,1927,1928,1,BEST PICTURE,The Caddo Company,The Racket,False
20,1927,1928,1,BEST PICTURE,Fox,7th Heaven,False
21,1927,1928,1,BEST PICTURE,Paramount Famous Lasky,Wings,True
35,1928,1929,2,ACTOR,George Bancroft,Thunderbolt,False
36,1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,True
37,1928,1929,2,ACTOR,Chester Morris,Alibi,False
38,1928,1929,2,ACTOR,Paul Muni,The Valiant,False
39,1928,1929,2,ACTOR,Lewis Stone,The Patriot,False
40,1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,False
41,1928,1929,2,ACTRESS,Betty Compson,The Barker,False
42,1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,False
43,1928,1929,2,ACTRESS,Corinne Griffith,The Divine Lady,False
44,1928,1929,2,ACTRESS,Bessie Love,The Broadway Melody,False
45,1928,1929,2,ACTRESS,Mary Pickford,Coquette,True
56,1928,1929,2,DIRECTING,Lionel Barrymore,Madame X,False
57,1928,1929,2,DIRECTING,Harry Beaumont,The Broadway Melody,False
58,1928,1929,2,DIRECTING,Irving Cummings,In Old Arizona,False
59,1928,1929,2,DIRECTING,Frank Lloyd,The Divine Lady,True
60,1928,1929,2,DIRECTING,Frank Lloyd,Drag;,False
61,1928,1929,2,DIRECTING,Ernst Lubitsch,The Patriot,False
62,1928,1929,2,BEST PICTURE,Feature Productions,Alibi,False
63,1928,1929,2,BEST PICTURE,Fox,In Old Arizona,False
64,1928,1929,2,BEST PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,True
65,1928,1929,2,BEST PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,False
66,1928,1929,2,BEST PICTURE,Paramount Famous Lasky,The Patriot,False
73,1929,1930,3,ACTOR,George Arliss,Disraeli,True
74,1929,1930,3,ACTOR,George Arliss,The Green Goddess,False
75,1929,1930,3,ACTOR,Wallace Beery,The Big House,False
76,1929,1930,3,ACTOR,Maurice Chevalier,The Big Pond,False
77,1929,1930,3,ACTOR,Ronald Colman,Bulldog Drummond,False
78,1929,1930,3,ACTOR,Lawrence Tibbett,The Rogue Song,False
79,1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,False
80,1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,False
81,1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,False
82,1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,True
83,1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,False
84,1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,False
95,1929,1930,3,DIRECTING,Clarence Brown,Anna Christie;,False
96,1929,1930,3,DIRECTING,Robert Leonard,The Divorcee,False
97,1929,1930,3,DIRECTING,Ernst Lubitsch,The Love Parade,False
98,1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,True
99,1929,1930,3,DIRECTING,King Vidor,Hallelujah,False
115,1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,True
116,1930,1931,4,ACTOR,Jackie Cooper,Skippy,False
117,1930,1931,4,ACTOR,Richard Dix,Cimarron,False
118,1930,1931,4,ACTOR,Fredric March,The Royal Family of Broadway,False
119,1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,False
