,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_filming_locations,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,GENRE_1,GENRE_2,GENRE_3,GENRE_4,GENRE_5,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western
0,0,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0055781,Beauty and the Beast,77,"Family,Fantasy,Horror",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
1,1,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0074193,Beauty and the Beast,74,"Family,Fantasy,Romance",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
2,2,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,['Not found'],160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0092626,Beauty and the Beast,94,"Family,Fantasy,Musical",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0101414,Beauty and the Beast,84,"Animation,Family,Fantasy",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
4,4,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0195545,Beauty and the Beast,57,Adult,429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
5,5,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt0338769,Blood of Beasts,90,"Action,Adventure,Family",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
6,6,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt1140853,Beauty and the Beast,50,Music,429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
7,7,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt11861230,Beauty and the Beast,\N,"Comedy,Drama,Family",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
8,8,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt1202150,Beauty and the Beast,60,"Animation,Family",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
9,9,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt1276939,Beauty and the Beast,\N,"Family,Fantasy,Romance",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
10,10,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt1410295,Beauty and the Beast,90,"Drama,Fantasy,Romance",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
11,11,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt1662015,Beauty and the Beast,50,"Drama,Family",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
12,12,Beauty and the Beast,129.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2.0,"['Family', 'Fantasy', 'Musical', 'Romance']",160000000.0,504481165.0,1264064386.0,2,17 March 2017,tt2261303,Beauty and the Beast: A Dark Tale,\N,"Drama,Fantasy,Sci-Fi",429158458.0,425324962.0,5461,46,1994-03-13,621968.779710145,56.526376811594254,0.860458985507247,94.94009584664535,1603.8144927536234,2017-01-01,2.0,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
