,Unnamed: 0,title,runtime,stars,directors,filming_location,aka,oscars_won,genres,budget,domestic_gross,worldwide_gross,mpaa_rating,release
0,0,Beauty and the Beast,129,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],"London, England, UK",Beauty and the Beast,2,"['Family', 'Fantasy', 'Musical', 'Romance']","$160,000,000
            ","$504,481,165","$1,264,064,386",PG,17 March 2017 (USA)
1,1,Hamilton,160,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.']",['Thomas Kail'],"Richard Rodgers Theatre - 226 W. 46th Street, Manhattan, New York City, New York, USA",Hamilton,0,"['Biography', 'Drama', 'History', 'Musical']",Not found,Not found,Not found,PG-13,3 July 2020 (USA)
2,2,Trolls World Tour,90,"['Anna Kendrick', 'Justin Timberlake', 'Rachel Bloom']","['Walt Dohrn', 'David P. Smith']","Glendale, California, USA",Trolls World Tour,0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","$90,000,000
            ",Not found,"$18,977,872",PG,10 April 2020 (USA)
3,3,Mulan,88,"['Ming-Na Wen', 'Eddie Murphy', 'BD Wong']","['Tony Bancroft', 'Barry Cook']",Not found,China Doll,1,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical', 'War']","$90,000,000
            ","$120,620,254","$304,320,254",G,19 June 1998 (USA)
4,4,Grease,110,"['John Travolta', 'Olivia Newton-John', 'Stockard Channing']",['Randal Kleiser'],"6th Street Viaduct, Los Angeles, California, USA",Grease,1,"['Musical', 'Romance']","$6,000,000
            ","$190,071,103","$397,217,505",PG,16 June 1978 (USA)
5,5,The Greatest Showman,105,"['Hugh Jackman', 'Michelle Williams', 'Zac Efron']",['Michael Gracey'],"1 E 78th St, New York City, New York, USA",The Greatest Showman,1,"['Biography', 'Drama', 'Musical']","$84,000,000
            ","$174,340,174","$435,103,598",PG,20 December 2017 (USA)
6,6,The Lion King,118,"['Donald Glover', 'Beyoncé', 'Seth Rogen']",['Jon Favreau'],"Los Angeles, California, USA",The Lion King,1,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']","$260,000,000
            ","$543,638,043","$1,656,963,790",PG,19 July 2019 (USA)
7,7,West Side Story,Not found,"['Ansel Elgort', 'Rachel Zegler', 'Ariana DeBose']",['Steven Spielberg'],"New York, USA",West Side Story,0,"['Crime', 'Drama', 'Musical', 'Romance']","$100,000,000
            ",Not found,Not found,,10 December 2021 (USA)
8,8,Charlie and the Chocolate Factory,115,"['Johnny Depp', 'Freddie Highmore', 'David Kelly']",['Tim Burton'],UK,Charlie and the Chocolate Factory: The IMAX Experience,1,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","$150,000,000
            ","$206,459,076","$474,968,763",PG,15 July 2005 (USA)
9,9,Sing,108,"['Matthew McConaughey', 'Reese Witherspoon', 'Seth MacFarlane']","['Garth Jennings', 'Christophe Lourdelet']","Illumination Entertainment - 1805 Colorado Avenue, Santa Monica, California, USA",Sing,2,"['Animation', 'Comedy', 'Family', 'Musical']","$75,000,000
            ","$270,395,425","$634,154,922",PG,21 December 2016 (USA)
10,10,Frozen II,103,"['Kristen Bell', 'Idina Menzel', 'Josh Gad']","['Chris Buck', 'Jennifer Lee']","Norway, Norge",Frozen 2,1,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","$150,000,000
            ","$477,373,578","$1,450,026,933",PG,22 November 2019 (USA)
11,11,Aladdin,128,"['Will Smith', 'Mena Massoud', 'Naomi Scott']",['Guy Ritchie'],"Longcross, Surrey, England, UK",Aladdin,0,"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']","$183,000,000
            ","$355,559,216","$1,050,693,953",PG,24 May 2019 (USA)
12,12,Moana,107,"[""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House']","['Ron Clements', 'John Musker']",Polynesia,Moana,2,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","$150,000,000
            ","$248,757,044","$643,350,610",PG,23 November 2016 (USA)
13,13,The Nightmare Before Christmas,76,"['Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara""]",['Henry Selick'],"Skellington Productions - 375 7th Street, San Francisco, California, USA",Tim Burton's The Nightmare Before Christmas in Disney Digital 3-D,1,"['Animation', 'Family', 'Fantasy', 'Musical']","$18,000,000
            ","$75,082,668","$89,140,058",PG,29 October 1993 (USA)
14,14,Frozen,102,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff']","['Chris Buck', 'Jennifer Lee']","Walt Disney Animation Studios - 2100 W Riverside Drive, Burbank, California, USA",The Snow Queen,0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","$150,000,000
            ","$400,738,009","$1,280,803,377",PG,27 November 2013 (USA)
15,15,The Lion King,88,"['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones']","['Roger Allers', 'Rob Minkoff']","Walt Disney Studios Motion Pictures - 500 S. Buena Vista Street, Burbank, California, USA",The Lion King,0,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']","$45,000,000
            ","$422,783,777","$968,511,805",G,24 June 1994 (USA)
16,16,Les Misérables,158,"['Hugh Jackman', 'Russell Crowe', 'Anne Hathaway']",['Tom Hooper'],"Chatham Historic Dockyard, Chatham, Kent, England, UK",Les Miz,0,"['Drama', 'History', 'Musical', 'Romance', 'War']","$61,000,000
            ","$148,809,770","$441,809,770",PG-13,25 December 2012 (USA)
17,17,Mamma Mia! Here We Go Again,114,"['Lily James', 'Amanda Seyfried', 'Meryl Streep']",['Ol Parker'],"Vis, Croatia",Mamma Mia 2,0,"['Comedy', 'Musical', 'Romance']","$75,000,000
            ","$120,634,935","$395,101,142",PG-13,20 July 2018 (USA)
18,18,Guys and Dolls,150,"['Marlon Brando', 'Jean Simmons', 'Frank Sinatra']",['Joseph L. Mankiewicz'],"Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA",Guys and Dolls,4,"['Comedy', 'Crime', 'Musical', 'Romance']","$5,500,000
            ",Not found,Not found,Not Rated,23 December 1955 (USA)
19,19,Willy Wonka &amp; the Chocolate Factory,100,"['Gene Wilder', 'Jack Albertson', 'Peter Ostrum']",['Mel Stuart'],"Emmy-Noether-Straße, Munich, Germany",Willy Wonka &amp; the Chocolate Factory,1,"['Family', 'Fantasy', 'Musical']","$3,000,000
            ","$526,633","$527,081",G,30 June 1971 (USA)
20,20,Rocketman,121,"['Taron Egerton', 'Jamie Bell', 'Richard Madden']",['Dexter Fletcher'],"Bray Studios, England, UK",Rocketman,0,"['Biography', 'Drama', 'Music', 'Musical']","$40,000,000
            ","$96,368,160","$195,179,299",R,31 May 2019 (USA)
21,21,The Rocky Horror Picture Show,100,"['Tim Curry', 'Susan Sarandon', 'Barry Bostwick']",['Jim Sharman'],"Berkshire, England, UK",The Rocky Horror Picture Show,0,"['Comedy', 'Musical']","$1,200,000
            ","$112,892,319","$113,140,497",R,31 August 1975 (Italy)
22,22,La La Land,128,"['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt']",['Damien Chazelle'],"Los Angeles, California, USA",LaLa Land,0,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']","$30,000,000
            ","$151,101,803","$446,486,871",PG-13,25 December 2016 (USA)
23,23,The Ballad of Buster Scruggs,133,"['Tim Blake Nelson', 'Willie Watson', 'Clancy Brown']","['Ethan Coen', 'Joel Coen']","Albuquerque, New Mexico, USA",The Ballad of Buster Scruggs,3,"['Comedy', 'Drama', 'Musical', 'Mystery', 'Romance', 'Western']",Not found,Not found,Not found,R,9 November 2018 (USA)
24,24,Cats,110,"['James Corden', 'Judi Dench', 'Jason Derulo']",['Tom Hooper'],"Warner Bros. Studios, Leavesden, Hertfordshire, England, UK",Cats,1,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']","$95,000,000
            ","$27,166,770","$73,834,284",PG,20 December 2019 (USA)
25,25,The Wizard of Oz,102,"['Judy Garland', 'Frank Morgan', 'Ray Bolger']","['Victor Fleming', 'George Cukor']","Stage 4, Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",The Wizard of Oz,0,"['Adventure', 'Family', 'Fantasy', 'Musical']","$2,777,000
            ","$24,790,250","$26,142,032",PG,25 August 1939 (USA)
26,26,Tangled,100,"['Mandy Moore', 'Zachary Levi', 'Donna Murphy']","['Nathan Greno', 'Byron Howard']","New York City, New York, USA",Rapunzel Unbraided,1,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']","$260,000,000
            ","$200,821,936","$592,461,732",PG,24 November 2010 (USA)
27,27,The Sound of Music,172,"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker']",['Robert Wise'],"Mehlweg, Marktschellenberg, Bavaria, Germany",Rodgers and Hammerstein's the Sound of Music,0,"['Biography', 'Drama', 'Family', 'Musical', 'Romance']","$8,200,000
            ","$159,287,539","$159,423,073",G,1 April 1965 (USA)
28,28,Hercules,93,"['Tate Donovan', 'Susan Egan', 'James Woods']","['Ron Clements', 'John Musker']",Not found,Hercules,1,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']","$85,000,000
            ","$99,112,101","$252,712,101",G,27 June 1997 (USA)
29,29,Labyrinth,101,"['David Bowie', 'Jennifer Connelly', 'Toby Froud']",['Jim Henson'],"West Wycombe Park, West Wycombe, Buckinghamshire, England, UK",Labyrinth,1,"['Adventure', 'Family', 'Fantasy', 'Musical']","$25,000,000
            ","$13,723,253","$13,907,620",PG,27 June 1986 (USA)
30,30,Chitty Chitty Bang Bang,144,"['Dick Van Dyke', 'Sally Ann Howes', 'Lionel Jeffries']",['Ken Hughes'],"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",Chitty Chitty Bang Bang,1,"['Adventure', 'Family', 'Fantasy', 'Musical']","$10,000,000
            ",Not found,$398,G,18 December 1968 (USA)
31,31,Mamma Mia!,108,"['Meryl Streep', 'Pierce Brosnan', 'Amanda Seyfried']",['Phyllida Lloyd'],"Volos, Greece",Mamma Mia! The Movie,2,"['Comedy', 'Musical', 'Romance']","$52,000,000
            ","$144,169,664","$609,913,584",PG-13,18 July 2008 (USA)
32,32,Grease 2,115,"['Michelle Pfeiffer', 'Maxwell Caulfield', 'Lorna Luft']",['Patricia Birch'],"The Pink Motel &amp; Cadillac Jack's Diner, 9457 San Fernando Road, Sun Valley, California, USA",Son of Grease,0,"['Comedy', 'Drama', 'Musical', 'Romance']","$13,200,000
            ","$15,171,476","$15,171,476",PG,11 June 1982 (USA)
33,33,The Princess and the Frog,97,"['Anika Noni Rose', 'Keith David', 'Oprah Winfrey']","['Ron Clements', 'John Musker']",Not found,The Frog Princess,3,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']","$105,000,000
            ","$104,400,899","$267,045,765",G,11 December 2009 (USA)
34,34,Mary Poppins Returns,130,"['Emily Blunt', 'Lin-Manuel Miranda', 'Ben Whishaw']",['Rob Marshall'],"Shepperton Studios, Shepperton, Surrey, England, UK",Mary Poppins 2,4,"['Comedy', 'Family', 'Fantasy', 'Musical']","$130,000,000
            ","$171,958,438","$349,545,966",PG,19 December 2018 (USA)
35,35,Aladdin,90,"['Scott Weinger', 'Robin Williams', 'Linda Larkin']","['Ron Clements', 'John Musker']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Aladdin,0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']","$28,000,000
            ","$217,350,219","$504,050,219",G,25 November 1992 (USA)
36,36,The Blues Brothers,133,"['John Belushi', 'Dan Aykroyd', 'Cab Calloway']",['John Landis'],"1623 S. 51st Court, Cicero, Illinois, USA",The Return of the Blues Brothers,0,"['Action', 'Adventure', 'Comedy', 'Crime', 'Music', 'Musical']","$27,000,000
            ","$57,229,890","$115,229,890",R,20 June 1980 (USA)
37,37,Beauty and the Beast,84,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Beauty and the Beast 3-D,0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']","$25,000,000
            ","$218,967,620","$440,118,382",G,22 November 1991 (USA)
38,38,Mary Poppins,139,"['Julie Andrews', 'Dick Van Dyke', 'David Tomlinson']",['Robert Stevenson'],"Stage 2, Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",Mary Poppins,0,"['Comedy', 'Family', 'Fantasy', 'Musical']","$6,000,000
            ","$102,272,727","$103,082,283",G,18 June 1965 (USA)
39,39,Sweeney Todd: The Demon Barber of Fleet Street,116,"['Johnny Depp', 'Helena Bonham Carter', 'Alan Rickman']",['Tim Burton'],"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",Sweeney Todd,0,"['Drama', 'Horror', 'Musical', 'Thriller']","$50,000,000
            ","$52,898,073","$153,383,627",R,21 December 2007 (USA)
