,Year,Award,Winner
0,1947,Actor (Play),José Ferrer
1,1947,Actress (Play),Fredric March
2,1947,Actor (Featured Role – Musical),Ingrid Bergman
3,1947,Actress (Featured Role – Play),Helen Hayes
4,1947,Author (Play),David Wayne
5,1947,Choreographer,Patricia Neal
6,1947,Costume Designer,Arthur Miller
7,1947,Director [Play or Musical],Agnes de Mille
8,1947,Original Musical Score,Michael Kidd
9,1947,Scenic Designer,Lucinda Ballard
10,1947,Special Tony Award,Elia Kazan
11,1948,Actor (Musical),Paul Hartman
12,1948,Actor (Play),Henry Fonda
13,1948,Actress (Musical),Paul Kelly
14,1948,Actress (Play),Basil Rathbone
15,1948,Author (Play),Grace Hartman
16,1948,Choreographer,Judith Anderson
17,1948,Conductor and Musical Director,Katharine Cornell
18,1948,Costume Designer,Jessica Tandy
19,1948,Director [Play or Musical],Thomas Heggen and Joshua Logan
20,1948,Outstanding Performance By Newcomers,Jerome Robbins
21,1948,Play,Max Meth
22,1948,Producer (Play),Mary Percy Schenck
23,1948,Regional Theatre Tony Award,Joshua Logan
24,1948,Scenic Designer,June Lockhart
25,1948,Special Tony Award,James Whitmore
26,1948,Stage Technician,Mister Roberts by Thomas Heggen and Joshua Logan/based on the Thomas Heggen novel
27,1949,Actor (Musical),Ray Bolger
28,1949,Actor (Play),Rex Harrison
29,1949,Actress (Musical),Nanette Fabray
30,1949,Actress (Play),Martita Hunt
31,1949,Actor (Featured Role – Play),Arthur Kennedy
32,1949,Actress (Featured Role – Play),Shirley Booth
33,1949,Book (Musical),Bella and Samuel Spewack
34,1949,Choreographer,Gower Champion
35,1949,Conductor and Musical Director,Max Meth
36,1949,Costume Designer,Lemuel Ayers
37,1949,Director [Play or Musical],Elia Kazan
38,1949,Musical,Kiss Me Kate
39,1949,Original Musical Score,Cole Porter
40,1949,Play,Arthur Miller
41,1949,Producer (Musical),Death of a Salesman by Arthur Miller
42,1949,Producer (Play),Saint-Subber and Lemuel Ayers
43,1949,Scenic Designer,Kermit Bloomgarden and Walter Fried
44,1950,Actor (Musical),Ezio Pinza
45,1950,Actor (Play),Sidney Blackmer
46,1950,Actress (Musical),Mary Martin
47,1950,Actress (Play),Shirley Booth
48,1950,Actor (Featured Role – Musical),Myron McCormick
49,1950,Actress (Featured Role – Musical),Juanita Hall
50,1950,Book (Musical),Oscar Hammerstein II and Joshua Logan
