,Unnamed: 0,Unnamed: 0.1,title,FILM_runtime,FILM_stars,FILM_directors,FILM_filming_locations,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,GENRE_1,GENRE_2,GENRE_3,GENRE_4,GENRE_5,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western
0,24792,24792,"'night, Mother",96.0,"['Sissy Spacek', 'Anne Bancroft', 'Ed Berke']",['Tom Moore'],"Universal Studios - 100 Universal City Plaza, Universal City, California, USA","'night, Mother",1.0,"['contentRating: PG-13', 'actor:', '{', '@type: Person', 'url: /name/nm0000651/', 'name: Sissy Spacek', '}', '{', '@type: Person', 'url: /name/nm0000843/', 'name: Anne Bancroft', '}', '{', '@type: Person', 'url: /name/nm0075303/', 'name: Ed Berke', '}', '{', '@type: Person', 'url: /name/nm0730306/', 'name: Carol Robbins', '}']",,441863.0,441863.0,3,29 January 1987,tt0090556,"'night, Mother",96,Drama,2011480.0,7329105.0,65,26,2004-10-24,167623.33333333337,52.46999999999999,0.3994666666666665,86.25,1078.0,1987-01-01,3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25469,25469,A Bronx Tale,121.0,"['Robert De Niro', 'Chazz Palminteri', 'Lillo Brancato']",['Robert De Niro'],"4408 30th Avenue, Astoria, Queens, New York City, New York, USA",A Bronx Tale,0.0,"['contentRating: PG-13', 'actor:', '{', '@type: Person', 'url: /name/nm0000651/', 'name: Sissy Spacek', '}', '{', '@type: Person', 'url: /name/nm0000843/', 'name: Anne Bancroft', '}', '{', '@type: Person', 'url: /name/nm0075303/', 'name: Ed Berke', '}', '{', '@type: Person', 'url: /name/nm0730306/', 'name: Carol Robbins', '}']",22000000.0,17287898.0,17287898.0,4,1 October 1993,tt0106489,A Bronx Tale,121,"Crime,Drama,Romance",68722968.43999995,84757024.0,700,28,2016-11-06,746988.7873913038,100.18391304347828,0.8986597826086953,246.2391304347826,1044.0,1993-01-01,4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5161,5161,A Chorus Line,113.0,"['Michael Douglas', 'Terrence Mann', 'Michael Blevins']",['Richard Attenborough'],"Helen Hayes Theater - 240 West 44th Street, Manhattan, New York City, New York, USA",A Chorus Line,3.0,"['Crime', 'Drama', 'Romance']",27000000.0,14202899.0,14202899.0,3,20 December 1985,tt0088915,A Chorus Line,113,"Drama,Music,Musical",106462964.0,78772513.0,2799,18,1985-06-09,299895.67323943664,42.893915492957724,0.6450270422535216,280.6375,1352.456338028169,1985-01-01,3,Crime,Drama,Romance,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
3,6804,6804,A Christmas Carol,96.0,"['Jim Carrey', 'Gary Oldman', 'Colin Firth']",['Robert Zemeckis'],Not found,A Christmas Carol: An IMAX 3D Experience,0.0,"['Drama', 'Music', 'Musical']",200000000.0,137855863.0,325286646.0,2,6 November 2009,tt0029992,A Christmas Carol,69,"Drama,Family,Fantasy",9227943.83,8228171.0,119,19,1991-12-22,512663.5461111111,73.53444444444446,0.8741722222222221,286.9,1102.111111111111,2009-01-01,2,Drama,Music,Musical,,,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
4,24643,24643,A Christmas Story,94.0,"['Peter Billingsley', 'Melinda Dillon', 'Darren McGavin']",['Bob Clark'],"232 Queen St W, Toronto, Ontario, Canada",A Christmas Story,0.0,"['Animation', 'Drama', 'Family', 'Fantasy']",3300000.0,20605209.0,20618717.0,2,18 November 1983,tt0085334,A Christmas Story,94,"Comedy,Family",8633547.0,11751311.0,51,15,2012-11-11,1079193.375,94.0925,0.8903125,229.25,1509.5,1983-01-01,2,Animation,Drama,Family,Fantasy,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5,25375,25375,A Few Good Men,138.0,"['Tom Cruise', 'Jack Nicholson', 'Demi Moore']",['Rob Reiner'],"Motel 6 - 1345 4th. Street NE, Washington, District of Columbia, USA",A Few Good Men,4.0,"['Comedy', 'Family']",41000000.0,141340178.0,243240178.0,4,11 December 1992,tt0104257,A Few Good Men,138,"Drama,Thriller",7729208.0,0.0,497,15,1989-11-05,118910.89230769232,23.665692307692307,0.6400784615384616,,997.0,1992-01-01,4,Comedy,Family,,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,16540,16540,A Midsummer Night's Dream,116.0,"['Kevin Kline', 'Michelle Pfeiffer', 'Rupert Everett']",['Michael Hoffman'],"Caprarola, Viterbo, Lazio, Italy",William Shakespeare's A Midsummer Night's Dream,0.0,"['Drama', 'Thriller']",11000000.0,16071990.0,16071990.0,3,14 May 1999,tt0026714,A Midsummer Night's Dream,133,"Comedy,Fantasy,Romance",2731254.0,5933490.0,65,13,1996-03-24,273125.4,40.54,0.6046699999999999,65.0,1448.0,1999-01-01,3,Drama,Thriller,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7,25080,25080,A Month in the Country,96.0,"['Colin Firth', 'Kenneth Branagh', 'John Atkinson']","[""Pat O'Connor""]","Pickering, North Yorkshire, England, UK",A Month in the Country,0.0,"['Comedy', 'Fantasy', 'Romance']",,443524.0,,2,4 December 1987,tt0093562,A Month in the Country,96,Drama,1407371.0,399200.0,55,24,1995-04-09,140737.1,36.76199999999999,0.9736300000000002,55.0,499.0,1987-01-01,2,Comedy,Fantasy,Romance,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8,22493,22493,A Thousand Clowns,118.0,"['Jason Robards', 'Barbara Harris', 'Martin Balsam']",['Fred Coe'],"South Street Seaport - 19 Fulton Street, Manhattan, New York City, New York, USA",A Thousand Clowns,0.0,"['contentRating: PG', 'actor:', '{', '@type: Person', 'url: /name/nm0000147/', 'name: Colin Firth', '}', '{', '@type: Person', 'url: /name/nm0000110/', 'name: Kenneth Branagh', '}', '{', '@type: Person', 'url: /name/nm0040744/', 'name: John Atkinson', '}', '{', '@type: Person', 'url: /name/nm0141697/', 'name: Jim Carter', '}']",,5232000.0,,0,9 September 1966,tt0059798,A Thousand Clowns,118,"Comedy,Drama,Romance",3678438.0,6150272.0,115,45,1996-06-16,175163.7142857143,39.083333333333336,0.7496523809523811,67.85714285714286,839.5714285714287,1966-01-01,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25548,25548,A Time to Kill,149.0,"['Matthew McConaughey', 'Sandra Bullock', 'Samuel L. Jackson']",['Joel Schumacher'],"Canton, Mississippi, USA",A Time to Kill,1.0,"['Comedy', 'Drama', 'Romance']",40000000.0,108766007.0,152266007.0,4,24 July 1996,tt0117913,A Time to Kill,149,"Crime,Drama,Thriller",1720560.0,4987525.0,33,23,2013-09-29,215070.0,56.20375,0.7423249999999999,223.0,802.0,1996-01-01,4,Comedy,Drama,Romance,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
