,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,BWAY_relative_gross,GENRE_1,GENRE_2,GENRE_3,GENRE_4,GENRE_5,0,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western
0,0.0,"'night, Mother",96.0,"['Sissy Spacek', 'Anne Bancroft', 'Ed Berke']",['Tom Moore'],"'night, Mother",1.0,['Not found'],5237456.983274471,441863.0,441863.0,3.0,29 January 1987,tt0090556,"'night, Mother",96,"['contentRating: PG-13', 'actor: [', '{', '@type: Person', 'url: /name/nm0000651/', 'name: Sissy Spacek', '}', '{', '@type: Person', 'url: /name/nm0000843/', 'name: Anne Bancroft', '}', '{', '@type: Person', 'url: /name/nm0075303/', 'name: Ed Berke', '}', '{', '@type: Person', 'url: /name/nm0730306/', 'name: Carol Robbins', '}']",2011480.0,7329105.0,65.0,26.0,2004-10-24 00:00:00,52.46999999999999,0.3994666666666665,86.25,1078.0,1987-01-01 00:00:00,3.0,0.2744509732088707,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,13,104.03911352138626,"['Ismo Kallio', 'Seija Lampila', 'Lasse Liemola']",['Aarre Elo'],Not found,0.0,['Not found'],15115293.248604914,33744643.47210472,59254017.99328326,0.0,18 January 1966,tt0798817,13,91,Not found,4436369.0,12660172.0,105.0,22.0,2008-09-21 00:00:00,58.883125,0.5487625,198.5,1042.0,1966-01-01 00:00:00,0.0,0.3504193307958217,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,1776,141.0,"['William Daniels', 'Howard Da Silva', 'Ken Howard']",['Peter H. Hunt'],1776,1.0,"['Drama', 'Family', 'History', 'Musical']",4000000.0,26285523.61550375,31111346.339796104,1.0,17 November 1972,tt0068156,1776,141,"['Drama', 'Family', 'History', 'Musical']",13667789.0,29237441.0,333.0,34.0,1997-07-20 00:00:00,40.464565217391296,0.7918021739130439,72.06521739130434,1351.1739130434785,1972-01-01 00:00:00,1.0,0.4674755564278009,Drama,Family,History,Musical,,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
3,3.0,1984,90.0,"[""Edmond O'Brien"", 'Michael Redgrave', 'Jan Sterling']",['Michael Anderson'],1984,0.0,"['Drama', 'Sci-Fi']",15139210.376180746,34352068.8822768,60397011.74749997,0.0,September 1956,tt0048918,1984,90,"['Drama', 'Sci-Fi']",6859820.120000001,15831077.0,125.0,38.0,2017-05-21 00:00:00,61.16190476190476,0.7138857142857142,249.0,970.0,1956-01-01 00:00:00,0.0,0.4333135465136074,Drama,Sci-Fi,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4.0,42nd Street,154.0,"['Jamie Ross', 'Elizabeth Allen', 'Clare Leach']",['Mark Bramble'],Not found,0.0,['Not found'],1.0,50383953.0086313,85138855.0746542,0.0,1 November 2020,tt0024034,42nd Street,89,"['actor: [', '{', '@type: Person', 'url: /name/nm0743494/', 'name: Jamie Ross', '}', '{', '@type: Person', 'url: /name/nm0020490/', 'name: Elizabeth Allen', '}', '{', '@type: Person', 'url: /name/nm1040636/', 'name: Clare Leach', '}', '{', '@type: Person', 'url: /name/nm0714077/', 'name: Lee Roy Reams', '}']",178252977.0,204319435.0,3028.0,31.0,1985-06-09 00:00:00,45.022109375000035,0.7031236979166672,99.01658163265341,1720.96875,2020-01-01 00:00:00,0.0,0.8724230125244816,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,9 to 5,103.63291779804666,,,,0.07708545118620147,['nan'],15084988.223516475,37588437.056198746,65117048.64355151,0.0,,tt8074758,9 to 5,\N,,15231411.0,30597053.0,148.0,24.0,2009-04-12 00:00:00,69.74318181818181,0.7998727272727273,300.0,1611.0,1984-01-01 00:00:00,0.0,0.4978064717539954,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,A Bronx Tale,121.0,"['Robert De Niro', 'Chazz Palminteri', 'Lillo Brancato']",['Robert De Niro'],A Bronx Tale,0.0,"['Crime', 'Drama', 'Romance']",22000000.0,17287898.0,17287898.0,4.0,1 October 1993,tt0106489,A Bronx Tale,121,"['Crime', 'Drama', 'Romance']",68722968.43999995,84757024.0,700.0,28.0,2016-11-06 00:00:00,100.18391304347828,0.8986597826086953,246.2391304347826,1044.0,1993-01-01 00:00:00,4.0,0.8108232827995465,Crime,Drama,Romance,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
7,7.0,A Chorus Line,120.0,"['Christine Achico', 'Sheldon Chaney', 'Mariano Foulquie']","['Rennie Cowan', 'Chance Taylor']",Not found,0.0,['Not found'],25000.0,21958315.975512706,41898318.39590812,0.0,15 May 2015,tt0088915,A Chorus Line,113,"['actor: [', '{', '@type: Person', 'url: /name/nm9869979/', 'name: Christine Achico', '}', '{', '@type: Person', 'url: /name/nm8350721/', 'name: Sheldon Chaney', '}', '{', '@type: Person', 'url: /name/nm4685954/', 'name: Mariano Foulquie', '}', '{', '@type: Person', 'url: /name/nm7466499/', 'name: Sarah J. Halstead', '}']",106462964.0,78772513.0,2799.0,18.0,1985-06-09 00:00:00,42.893915492957724,0.6450270422535216,280.6375,1352.456338028169,2015-01-01 00:00:00,0.0,1.3515242810648938,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,A Christmas Carol,96.0,"['Jim Carrey', 'Gary Oldman', 'Colin Firth']",['Robert Zemeckis'],A Christmas Carol: An IMAX 3D Experience,0.0,"['Animation', 'Drama', 'Family', 'Fantasy']",200000000.0,137855863.0,325286646.0,2.0,6 November 2009,tt0029992,A Christmas Carol,69,"['Animation', 'Drama', 'Family', 'Fantasy']",9227943.83,8228171.0,119.0,19.0,1991-12-22 00:00:00,73.53444444444446,0.8741722222222221,286.9,1102.111111111111,2009-01-01 00:00:00,2.0,1.1215060831866523,Animation,Drama,Family,Fantasy,,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,9.0,A Christmas Story,104.40246761534915,Not found,Not found,The Night Before Christmas,0.0,['Not found'],15386457.521708732,32885946.21773153,59938023.20558129,0.0,2 January 2015,tt0085334,A Christmas Story,94,Not found,8633547.0,11751311.0,51.0,15.0,2012-11-11 00:00:00,94.0925,0.8903125,229.25,1509.5,2015-01-01 00:00:00,0.0,0.7346879850256708,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
